网格修复 门(b) 连续性　W08 片0　管内径 49.00～51.00 每 0.05（盘径 30、舌半宽 30）　导航 vs 判决网格，等温电流场
开跑 2026-09-23 14:59:04　工作树 /tmp/claude-0/-home-user-Pt-Optimize/edf845d6-9a14-5b5e-9737-df190eaf0db5/scratchpad/wtC4　写码 2026-09-18，Fable 5.1；本根扫描 2026-09-19 Fable 5.1 加（复核第 5 条），门槛与盘径那根同一份
门槛（跑前写死）：相邻两点 |ΔV_mesh − ΔV_ref| ≤ 一格体积（= 最大格面积 × 板厚）；网格误差 e = (R_导航 − R_判决)/R_判决 的相邻变化 |Δe| ≤ 0.2 %，且 |e| ≤ 1 %（网格审计 ② 的坏带线）；舌段带格数恒 0；电流场须收敛。
⚠ 第一版曾直接判相邻 R_mesh 变化 ≤ 0.2 %：舌长 = √(R²−w²) + 压接 + 自由段在 R = w 处有 √ 奇点（R 30.00 → 30.01 舌长 +0.77 mm、电阻真变 +0.5 %），那是几何不是网格 ⇒ 改判网格误差的连续性，门槛数不变（2026-09-18 Fable 5.1）。
孔径	档	细区mm	细区半径	节点	单元	V_ref	V_mesh	ΔV%	环内V_ref	环内V_mesh(份额)	Δ环内%	环内V_mesh(格心)	Δ环内格心%	跨环格体积最大误差%	舌区V_ref	舌区V_mesh	Δ舌区%	带格	舌中格长宽比	最小覆盖率	孔面数	孔面总长	R_mesh µΩ	P_net W	P_gen W	闭合	Jmax	守恒误差	CG轮	收敛	备注	判决R_mesh µΩ	判决单元	e%	Δe%	ΔV_mesh−ΔV_ref	一格体积	判读
49.00	导航	2.000	40.00	50×31	914	15338.97	15339.12	+0.001	1156.81	1156.95	+0.012	1194.08	+3.222	0.329	15010.90	15010.93	+0.000	0	5.5	0.0180	100	158.965	304.2624	448.421	448.460	1.0001	14.20	1.2e-8	104	是		304.1987	3268	+0.021	—	—	—	过
49.05	导航	2.000	40.00	50×31	914	15329.51	15329.55	+0.000	1147.36	1147.38	+0.002	1184.51	+3.238	0.332	15006.86	15006.90	+0.000	0	5.5	0.0180	100	159.122	304.1697	448.284	448.338	1.0001	14.21	1.2e-8	104	是		304.0841	3260	+0.028	0.007	-0.115	16.280	过
49.10	导航	2.000	40.00	50×31	914	15323.91	15324.06	+0.001	1141.75	1141.89	+0.013	1179.02	+3.265	0.332	15002.82	15002.86	+0.000	0	5.5	0.0180	100	159.279	304.0809	448.153	448.230	1.0002	14.22	1.1e-8	104	是		303.9935	3260	+0.029	0.001	0.110	16.280	过
49.15	导航	2.000	40.00	50×31	914	15318.52	15318.57	+0.000	1136.37	1136.40	+0.002	1173.53	+3.270	0.332	14998.78	14998.82	+0.000	0	5.5	0.0180	100	159.436	303.9876	448.016	448.105	1.0002	14.23	1.1e-8	104	是		303.9022	3260	+0.028	-0.001	-0.106	16.280	过
49.20	导航	2.000	40.00	50×31	914	15313.02	15313.06	+0.000	1130.86	1130.89	+0.003	1168.02	+3.286	0.332	14994.73	14994.77	+0.000	0	5.5	0.0180	100	159.593	303.8946	447.879	447.981	1.0002	14.24	1.0e-8	104	是		303.8116	3260	+0.027	-0.001	0.002	16.280	过
49.25	导航	2.000	40.00	50×31	914	15307.62	15307.56	-+0.000	1125.47	1125.39	-0.007	1162.52	+3.292	0.332	14990.68	14990.72	+0.000	0	5.5	0.0180	100	159.750	303.8018	447.742	447.856	1.0003	14.26	1.0e-8	104	是		303.7217	3260	+0.026	-0.001	-0.103	16.280	过
49.30	导航	2.000	40.00	50×31	914	15301.88	15302.04	+0.001	1119.72	1119.87	+0.014	1157.00	+3.330	0.332	14986.63	14986.66	+0.000	0	5.5	0.0180	100	159.907	303.7093	447.605	447.732	1.0003	14.27	9.9e-9	104	是		303.6329	3260	+0.025	-0.001	0.220	16.280	过
49.35	导航	2.000	40.00	50×31	914	15296.47	15296.53	+0.000	1114.31	1114.36	+0.004	1151.49	+3.336	0.332	14982.57	14982.60	+0.000	0	5.5	0.0180	100	160.064	303.6162	447.468	447.607	1.0003	14.28	9.5e-9	104	是		303.5452	3260	+0.023	-0.002	-0.099	16.280	过
49.40	导航	2.000	40.00	50×31	914	15290.94	15291.00	+0.000	1108.78	1108.83	+0.005	1145.96	+3.354	0.332	14978.50	14978.54	+0.000	0	5.5	0.0180	100	160.221	303.5231	447.331	447.482	1.0003	14.29	9.2e-9	104	是		303.3869	3236	+0.045	0.021	0.006	16.280	过
49.45	导航	2.000	40.00	50×31	914	15285.31	15285.47	+0.001	1103.16	1103.30	+0.013	1140.43	+3.379	0.332	14974.44	14974.47	+0.000	0	5.5	0.0180	100	160.378	303.4300	447.194	447.357	1.0004	14.30	8.9e-9	104	是		303.2917	3236	+0.046	0.001	0.101	16.280	过
49.50	导航	2.000	40.00	50×31	914	15279.88	15279.94	+0.000	1097.72	1097.77	+0.005	1134.90	+3.387	0.332	14970.36	14970.40	+0.000	0	5.5	0.0180	100	160.535	303.3371	447.057	447.231	1.0004	14.32	8.6e-9	104	是		303.1972	3236	+0.046	0.001	-0.110	16.280	过
49.55	导航	2.000	40.00	50×31	914	15274.24	15274.40	+0.001	1092.09	1092.23	+0.013	1129.36	+3.413	0.332	14966.29	14966.32	+0.000	0	5.5	0.0180	100	160.692	303.2442	446.920	447.106	1.0004	14.33	8.3e-9	104	是		303.0567	3228	+0.062	0.016	0.103	16.280	过
49.60	导航	2.000	40.00	50×31	914	15268.91	15268.86	-+0.000	1086.76	1086.69	-0.007	1123.82	+3.410	0.332	14962.21	14962.24	+0.000	0	5.5	0.0180	100	160.850	303.1516	446.784	446.981	1.0004	14.34	8.0e-9	104	是		302.9623	3228	+0.062	0.001	-0.220	16.280	过
49.65	导航	2.000	40.00	50×31	906	15263.25	15263.30	+0.000	1081.10	1081.14	+0.003	1118.26	+3.438	0.332	14958.13	14958.16	+0.000	0	5.5	0.0180	100	161.007	303.0288	446.603	446.502	0.9998	14.35	1.6e-8	103	是		302.8252	3220	+0.067	0.005	0.116	16.280	过
49.70	导航	2.000	40.00	50×31	906	15257.71	15257.75	+0.000	1075.54	1075.58	+0.004	1112.71	+3.456	0.332	14954.04	14954.07	+0.000	0	5.5	0.0180	100	161.164	302.9275	446.453	446.370	0.9998	14.35	1.5e-8	103	是		302.6900	3212	+0.078	0.011	-0.013	16.280	过
49.75	导航	2.000	40.00	50×31	906	15248.37	15248.41	+0.000	1066.21	1066.24	+0.002	1103.37	+3.484	0.335	14949.95	14949.98	+0.000	0	5.5	0.0180	100	161.321	302.8264	446.304	446.239	0.9999	14.36	1.5e-8	103	是		302.5948	3212	+0.077	-0.002	-0.007	16.060	过
